,Klub,KlubPoziom,KlubNarodowosc,Zawodnik,ZawodnikWiek,ZawodnikPozycja,ZawodnikPozycjaSkrot,ZawodnikNarodowosc,TypOperacji,Pozyskany/Sprzedany,ZawodnikWartoscRynkowa,KlubPowiazany,KlubPowiazanyPoziom,KlubPowiazanyNarodowosc,KwotaOdstepnego
0,Dundee United FC,1.liga,Szkocja,Jack Newman,18,Bramkarz,BRK,Szkocja,bez odstępnego,Nabytki,25 tys. €,AFC Sunderland U18,ieżowa,Anglia,bez odstępnego
1,Dundee United FC,1.liga,Szkocja,Ryan Edwards,26,Środkowy obrońca,ŚOB,Anglia,bez odstępnego,Nabytki,400 tys. €,FC Blackpool,2.liga,Anglia,bez odstępnego
2,Dundee United FC,1.liga,Szkocja,Florent Hoti,19,Środkowy pomocnik,ŚPM,Kosowo,bez odstępnego,Nabytki,50 tys. €,Bez klubuBez klubu,,,bez odstępnego
3,Dundee United FC,1.liga,Szkocja,Jeando Fuchs,22,Defensywny pomocnik,DPM,Kamerun,?,Nabytki,800 tys. €,Deportivo Alavés,1.liga,Hiszpania,?
4,Dundee United FC,1.liga,Szkocja,Ross Doohan,23,Bramkarz,BRK,Szkocja,wypożyczenie,Nabytki,250 tys. €,Celtic Glasgow Reserves,,,wypożyczenie
5,Dundee United FC,1.liga,Szkocja,Marc McNulty,28,Środkowy napastnik,ŚNP,Szkocja,wypożyczenie,Nabytki,650 tys. €,FC Reading,2.liga,Anglia,wypożyczenie
6,Dundee United FC,1.liga,Szkocja,Luke Bolton,20,Prawy pomocnik,PPM,Anglia,wypożyczenie,Nabytki,"2,00 mln €",Manchester City U23,rezerw,Anglia,wypożyczenie
7,Dundee United FC,1.liga,Szkocja,Kieran Freeman,20,Prawy obrońca,POB,Szkocja,koniec wypżyczenia15 sty 2021,Nabytki,50 tys. €,Peterhead FC,3.liga,Szkocja,koniec wypżyczenia15 sty 2021
8,Dundee United FC,1.liga,Szkocja,Declan Glass,20,Ofensywny pomocnik,OPM,Szkocja,-,Nabytki,100 tys. €,Dundee United Reserves,,,-
9,Dundee United FC,1.liga,Szkocja,Archie Meekison,18,Ofensywny pomocnik,OPM,Szkocja,-,Nabytki,100 tys. €,Dundee United FC U18,,,-
10,Dundee United FC,1.liga,Szkocja,Ross Graham,19,Środkowy obrońca,ŚOB,Szkocja,-,Nabytki,50 tys. €,Dundee United Reserves,,,-
11,Dundee United FC,1.liga,Szkocja,Lewis Neilson,17,Prawy obrońca,POB,Szkocja,-,Nabytki,250 tys. €,Dundee United FC U18,,,-
12,Dundee United FC,1.liga,Szkocja,Jake Davidson,19,Defensywny pomocnik,DPM,Szkocja,-,Nabytki,-,Dundee United Reserves,,,-
13,Dundee United FC,1.liga,Szkocja,Kai Fotheringham,17,Lewy napastnik,LNP,Szkocja,-,Nabytki,75 tys. €,Dundee United FC U18,,,-
14,Dundee United FC,1.liga,Szkocja,Chris Mochrie,17,Ofensywny pomocnik,OPM,Szkocja,-,Nabytki,75 tys. €,Dundee United FC U18,,,-
15,Dundee United FC,1.liga,Szkocja,Cammy Smith,24,Cofnięty napastnik,CNP,Szkocja,koniec wypżyczenia1 maj 2020,Nabytki,300 tys. €,Dundalk FC,1.liga,Irlandia,koniec wypżyczenia1 maj 2020
16,Dundee United FC,1.liga,Szkocja,Jake Davidson,20,Defensywny pomocnik,DPM,Szkocja,koniec wypżyczenia2 sty 2021,Nabytki,-,Waterford FC,1.liga,Irlandia,koniec wypżyczenia2 sty 2021
17,Dundee United FC,1.liga,Szkocja,Kai Fotheringham,18,Lewy napastnik,LNP,Szkocja,koniec wypżyczenia5 maj 2021,Nabytki,75 tys. €,Falkirk FC,3.liga,Szkocja,koniec wypżyczenia5 maj 2021
18,Dundee United FC,1.liga,Szkocja,Lewis Neilson,17,Prawy obrońca,POB,Szkocja,koniec wypżyczenia5 maj 2021,Nabytki,250 tys. €,Falkirk FC,3.liga,Szkocja,koniec wypżyczenia5 maj 2021
19,Dundee United FC,1.liga,Szkocja,Archie Meekison,18,Ofensywny pomocnik,OPM,Szkocja,koniec wypżyczenia15 sty 2021,Nabytki,100 tys. €,The Spartans FC,,,koniec wypżyczenia15 sty 2021
20,Dundee United FC,1.liga,Szkocja,Ross Graham,20,Środkowy obrońca,ŚOB,Szkocja,koniec wypżyczenia12 maj 2021,Nabytki,50 tys. €,Cove Rangers FC,3.liga,Szkocja,koniec wypżyczenia12 maj 2021
21,Dundee United FC,1.liga,Szkocja,Kieran Freeman,21,Prawy obrońca,POB,Szkocja,koniec wypżyczenia5 maj 2021,Nabytki,50 tys. €,Peterhead FC,3.liga,Szkocja,koniec wypżyczenia5 maj 2021
22,Dundee United FC,1.liga,Szkocja,Ross Graham,19,Środkowy obrońca,ŚOB,Szkocja,koniec wypżyczenia15 sty 2021,Nabytki,50 tys. €,Cove Rangers FC,3.liga,Szkocja,koniec wypżyczenia15 sty 2021
23,Dundee United FC,1.liga,Szkocja,Chris Mochrie,18,Ofensywny pomocnik,OPM,Szkocja,koniec wypżyczenia12 maj 2021,Nabytki,75 tys. €,Montrose FC,3.liga,Szkocja,koniec wypżyczenia12 maj 2021
24,Dundee United FC,1.liga,Szkocja,Florent Hoti,20,Środkowy pomocnik,ŚPM,Kosowo,koniec wypżyczenia15 sty 2021,Nabytki,50 tys. €,Forfar Athletic FC,4.liga,Szkocja,koniec wypżyczenia15 sty 2021
25,Dundee United FC,1.liga,Szkocja,Adam King,25,Środkowy pomocnik,ŚPM,Szkocja,koniec wypżyczenia16 maj 2021,Nabytki,-,Raith Rovers FC,2.liga,Szkocja,koniec wypżyczenia16 maj 2021
26,Dundee United FC,1.liga,Szkocja,Chris Mochrie,17,Ofensywny pomocnik,OPM,Szkocja,koniec wypżyczenia15 sty 2021,Nabytki,75 tys. €,Montrose FC,3.liga,Szkocja,koniec wypżyczenia15 sty 2021
27,Dundee United FC,1.liga,Szkocja,Paul McMullan,25,Prawy pomocnik,PPM,Szkocja,koniec wypżyczenia31 maj 2021,Nabytki,425 tys. €,Dundee FC,1.liga,Szkocja,koniec wypżyczenia31 maj 2021
28,Dundee United FC,1.liga,Szkocja,Cammy Smith,25,Cofnięty napastnik,CNP,Szkocja,koniec wypżyczenia31 sty 2021,Nabytki,300 tys. €,Ayr United FC,2.liga,Szkocja,koniec wypżyczenia31 sty 2021
29,Dundee United FC,1.liga,Szkocja,Jake Davidson,20,Defensywny pomocnik,DPM,Szkocja,koniec wypżyczenia24 mar 2021,Nabytki,-,Arbroath FC,2.liga,Szkocja,koniec wypżyczenia24 mar 2021
