,Club,ClubLeagueLevel,ClubLeagueNationality,Player,PlayerAge,PlayerPosition,PlayerPositionScut,PlayerNationality,Operation,Bought/Sold,PlayerMarketValue,ClubAssigned,ClubAssignedLeagueLevel,ClubAssignedLeagueNationality,TransferValue
1,Legia Warszawa,1.liga,Polska,Ernest Muci,19,Środkowy napastnik,ŚNP,Albania,500 tys. €,Nabytki,"1,00 mln €",KF Tirana,1.liga,Albania,500 tys. €
2,Legia Warszawa,1.liga,Polska,Josip Juranovic,24,Prawy obrońca,POB,Chorwacja,400 tys. €,Nabytki,"2,50 mln €",HNK Hajduk Split,1.liga,Chorwacja,400 tys. €
3,Legia Warszawa,1.liga,Polska,Jasur Yakhshiboev,23,Prawy napastnik,PNP,Uzbekistan,300 tys. €,Nabytki,700 tys. €,Pakhtakor Tashkent,1.liga,Uzbekistan,300 tys. €
4,Legia Warszawa,1.liga,Polska,Rafa Lopes,29,Środkowy napastnik,ŚNP,Portugalia,150 tys. €,Nabytki,500 tys. €,Cracovia,1.liga,Polska,150 tys. €
5,Legia Warszawa,1.liga,Polska,Bartosz Kapustka,23,Ofensywny pomocnik,OPM,Polska,bez odstępnego,Nabytki,"1,50 mln €",Leicester City,1.liga,Anglia,bez odstępnego
6,Legia Warszawa,1.liga,Polska,Artur Boruc,40,Bramkarz,BRK,Polska,bez odstępnego,Nabytki,50 tys. €,AFC Bournemouth,2.liga,Anglia,bez odstępnego
7,Legia Warszawa,1.liga,Polska,Filip Mladenovic,28,Lewy obrońca,LOB,Serbia,bez odstępnego,Nabytki,"2,50 mln €",Lechia Gdańsk,1.liga,Polska,bez odstępnego
8,Legia Warszawa,1.liga,Polska,Michal Karbownik,19,Prawy obrońca,POB,Polska,wypożyczenie,Nabytki,"5,00 mln €",Brighton & Hove Albion,1.liga,Anglia,wypożyczenie
9,Legia Warszawa,1.liga,Polska,Joel Valencia,25,Lewy napastnik,LNP,Ekwador,wypożyczenie,Nabytki,400 tys. €,FC Brentford,1.liga,Anglia,wypożyczenie
10,Legia Warszawa,1.liga,Polska,Bartlomiej Ciepiela,19,Ofensywny pomocnik,OPM,Polska,-,Nabytki,-,Legia Warszawa II,4.liga,Polska,-
11,Legia Warszawa,1.liga,Polska,Jakub Kisiel,17,Defensywny pomocnik,DPM,Polska,-,Nabytki,100 tys. €,Legia Warszawa II,4.liga,Polska,-
12,Legia Warszawa,1.liga,Polska,Kacper Tobiasz,17,Bramkarz,BRK,Polska,-,Nabytki,300 tys. €,Legia Warszawa II,4.liga,Polska,-
13,Legia Warszawa,1.liga,Polska,Kacper Skibicki,19,Prawy pomocnik,PPM,Polska,-,Nabytki,400 tys. €,Legia Warszawa II,4.liga,Polska,-
14,Legia Warszawa,1.liga,Polska,Nikodem Niski,18,Prawy obrońca,POB,Polska,-,Nabytki,-,Legia Warszawa II,4.liga,Polska,-
15,Legia Warszawa,1.liga,Polska,Artem Shabanov,28,Środkowy obrońca,ŚOB,Ukraina,wypożyczenie,Nabytki,"1,50 mln €",Dynamo Kijów,1.liga,Ukraina,wypożyczenie
16,Legia Warszawa,1.liga,Polska,Nazariy Rusyn,22,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Nabytki,500 tys. €,Dynamo Kijów,1.liga,Ukraina,wypożyczenie
17,Legia Warszawa,1.liga,Polska,Cezary Miszta,18,Bramkarz,BRK,Polska,koniec wypżyczenia31 lip 2020,Nabytki,300 tys. €,Radomiak Radom,1.liga,Polska,koniec wypżyczenia31 lip 2020
18,Legia Warszawa,1.liga,Polska,Mateusz Holownia,22,Środkowy obrońca,ŚOB,Polska,koniec wypżyczenia31 lip 2020,Nabytki,400 tys. €,Wisła Kraków,1.liga,Polska,koniec wypżyczenia31 lip 2020
19,Legia Warszawa,1.liga,Polska,Dominik Nagy,25,Lewy napastnik,LNP,Węgry,koniec wypżyczenia30 cze 2020,Nabytki,600 tys. €,Panathinaikos Ateny,1.liga,Grecja,koniec wypżyczenia30 cze 2020
